Site,Date,ID,Sector,Unit,Layer,Level
VB,2005,1,,H15,A,1
VB,2005,3,,H15,A,1
VB,2005,4,,H16,A,1
VB,2005,5,,H16,A,1
VB,2005,5,,H16,A,1
VB,2005,7,,H16,A,1
VB,2005,7,,H16,A,1
VB,2005,15,,H16,A,1
VB,2005,19,,F15,A,3
VB,2005,19,,F15,A,3
VB,2005,19,,F15,A,3
VB,2005,19,,F15,A,3
VB,2005,19,,F15,A,3
VB,2005,20,,H15,A,1
VB,2005,22,,H16,A,1
VB,2005,24,,F15,A,3
VB,2005,27,,H16,A,1
VB,2005,27,,H16,A,1
VB,2005,31,,H15,A,1
VB,2005,432,,F15,A,3
VB,2005,432,,F15,A,3
VB,2005,433,,H16,A,1
VB,2005,437,,G16,A,1
VB,2005,439,,H15,A,2
VB,2005,440,,H15,A,2
VB,2005,487,,G16,A,1
VB,2005,490,,H16,A,2
VB,2005,536,,H16,A,2
VB,2005,536,,H16,A,2
VB,2005,536,,H16,A,2
VB,2005,536,,H16,A,2
VB,2005,536,,H16,A,2
VB,2005,536,,H16,A,2
VB,2005,536,,H16,A,2
VB,2005,537,,H15,A,2
VB,2005,537,,H15,A,2
VB,2005,537,,H15,A,2
VB,2005,537,,H15,A,2
VB,2005,538,,H15,A,2
VB,2005,590,,H16,A,2
VB,2005,642,,H15,A,2
VB,2005,642,,H15,A,2
VB,2005,733,,F15,A,3
VB,2005,733,,F15,A,3
VB,2005,733,,F15,A,3
VB,2005,733,,F15,A,3
VB,2005,734,,G16,A,2
VB,2005,734,,G16,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,736,,G15,A,2
VB,2005,737,,H16,A,2
VB,2005,742,,H15,A,2
VB,2005,743,,H15,A,3
VB,2005,791,,G16,A,2
VB,2005,833,,F15,A,3
VB,2005,833,,F15,A,3
VB,2005,834,,G16,A,2
VB,2005,838,,H15,A,3
VB,2005,839,,H15,A,3
VB,2005,862,,F15,A,3
VB,2005,869,,H16,A,3
VB,2005,923,,G16,A,3
VB,2005,923,,G16,A,3
VB,2005,923,,G16,A,3
VB,2005,923,,G16,A,3
VB,2005,924,,H16,A,3
VB,2005,924,,H16,A,3
VB,2005,924,,H16,A,3
VB,2005,926,,H16,A,3
VB,2005,928,,H15,A,3
VB,2005,929,,H15,A,3
VB,2005,930,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,935,,H15,A,3
VB,2005,974,,F15,A,4
VB,2005,974,,F15,A,4
VB,2005,975,,G16,A,3
VB,2005,975,,G16,A,3
VB,2005,976,,H16,A,3
VB,2005,976,,H16,A,3
VB,2005,977,,H16,A,3
VB,2005,986,,H15,A,3
VB,2005,986,,H15,A,3
VB,2005,986,,H15,A,3
VB,2005,986,,H15,A,3
VB,2005,1053,,F15,A,4
VB,2005,1053,,F15,A,4
VB,2005,1053,,F15,A,4
VB,2005,1053,,F15,A,4
VB,2005,1053,,F15,A,4
VB,2005,1056,,G16,A,3
VB,2005,1057,,G16,A,3
VB,2005,1057,,G16,A,3
VB,2005,1058,,H16,A,3
VB,2005,1058,,H16,A,3
VB,2005,1058,,H16,A,3
VB,2005,1058,,H16,A,3
VB,2005,1058,,H16,A,3
VB,2005,1058,,H16,A,3
VB,2005,1060,,H16,A,3
VB,2005,1062,,H16,A,3
VB,2005,1121,,H16,A,3
VB,2005,1129,,H15,A,3
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1189,,F15,A,4
VB,2005,1190,,G16,A,3
VB,2005,1190,,G16,A,3
VB,2005,1190,,G16,A,3
VB,2005,1191,,H16,A,3
VB,2005,1191,,H16,A,3
VB,2005,1191,,H16,A,3
VB,2005,1191,,H16,A,3
VB,2005,1256,,H16,A,3
VB,2005,1256,,H16,A,3
VB,2005,1256,,H16,A,3
VB,2005,1256,,H16,A,3
VB,2005,1256,,H16,A,3
VB,2005,1256,,H16,A,3
VB,2005,1256,,H16,A,3
VB,2005,1291,,F15,A,4
VB,2005,1291,,F15,A,4
VB,2005,1292,,H16,A,3
VB,2005,1292,,H16,A,3
VB,2005,1292,,H16,A,3
VB,2005,1292,,H16,A,3
VB,2005,1292,,H16,A,3
VB,2005,1292,,H16,A,3
VB,2005,1292,,H16,A,3
VB,2005,1292,,H16,A,3
VB,2005,1292,,H16,A,3
VB,2005,1294,,H16,A,3
VB,2005,1387,,F15,A,4
VB,2005,1387,,F15,A,4
VB,2005,1387,,F15,A,4
VB,2005,1387,,F15,A,4
VB,2005,1387,,F15,A,4
VB,2005,1387,,F15,A,4
VB,2005,1388,,F15,A,4
VB,2005,1393,,G15,A,2
VB,2005,1395,,G15,A,2
VB,2005,1396,,G15,A,2
VB,2005,1398,,H16,A,4
VB,2005,1398,,H16,A,4
VB,2005,1398,,H16,A,4
VB,2005,1398,,H16,A,4
VB,2005,1398,,H16,A,4
VB,2005,1398,,H16,A,4
VB,2005,1404,,H15,A,4
VB,2005,1449,,F15,A,4
VB,2005,1450,,F15,A,4
VB,2005,1453,,F15,A,4
VB,2005,1454,,G15,A,2
VB,2005,1456,,H16,A,4
VB,2005,1458,,H16,A,4
VB,2005,1459,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1464,,H16,A,4
VB,2005,1465,,H15,A,3
VB,2005,1465,,H15,A,3
VB,2005,1465,,H15,A,3
VB,2005,1465,,H15,A,3
VB,2005,1467,,H15,A,3
VB,2005,1543,,F15,A,4
VB,2005,1543,,F15,A,4
VB,2005,1544,,G15,A,2
VB,2005,1544,,G15,A,2
VB,2005,1544,,G15,A,2
VB,2005,1544,,G15,A,2
VB,2005,1556,,G15,A,2
VB,2005,1560,,H16,A,4
VB,2005,1562,,H16,A,4
VB,2005,1565,,H16,A,4
VB,2005,1571,,H16,A,4
VB,2005,1571,,H16,A,4
VB,2005,1571,,H16,A,4
VB,2005,1571,,H16,A,4
VB,2005,1571,,H16,A,4
VB,2005,1572,,H15,A,3
VB,2005,1607,,G15,A,2
VB,2005,1611,,H16,A,4
VB,2005,1611,,H16,A,4
VB,2005,1640,,G15,A,2
VB,2005,1652,,G15,A,2
VB,2005,1652,,G15,A,2
VB,2005,1653,,G15,A,2
VB,2005,1653,,G15,A,2
VB,2005,1653,,G15,A,2
VB,2005,1653,,G15,A,2
VB,2005,1654,,H16,A,4
VB,2005,1654,,H16,A,4
VB,2005,1654,,H16,A,4
